TIMESTAMP,AZIMUTH,DISTANCE,SIGNAL_STRENGTH
-1,272.6875,184,191
-1,275.25,183,191
-1,277.4375,183,191
-1,280,184,191
-1,282.5625,185,191
-1,285.3125,185,199
-1,288.0625,187,199
-1,290.8125,189,199
-1,293.5625,190,199
-1,295.9375,192,199
-1,298.1875,196,199
-1,300.375,199,199
-1,302.9375,202,199
-1,305.5,209,199
-1,308.0625,211,199
-1,310.25,210,199
-1,312.8125,219,199
-1,315.25,226,199
-1,317.4375,234,199
-1,319.625,240,199
-1,321.8125,254,199
-1,324,266,199
-1,326.25,279,199
-1,328.4375,286,199
-1,330.625,285,199
-1,333.1875,277,199
-1,335.75,269,199
-1,338.3125,261,199
-1,340.5,257,199
-1,342.75,252,199
-1,344.9375,247,199
-1,347.5,244,199
-1,350.0625,240,199
-1,352.25,235,199
-1,354.8125,233,199
-1,357.375,232,199
